date, leftPanel, pair, rightPanel
31/12/2012, 799, 51,155
01/01/2013, 345, 29,360
02/01/2013, 339, 50,569
03/01/2013, 137, 18,468
04/01/2013, 369, 84,680
05/01/2013, 335, 17,359
07/01/2013, 478, 99,667
08/01/2013, 568, 96,150
09/01/2013, 157, 33,256
10/01/2013, 234, 96,259
11/01/2013, 349, 67,368
12/01/2013, 246, 26,330
14/01/2013, ***, **,***
15/01/2013, 290, 17,890
16/01/2013, 567, 88,279
17/01/2013, 270, 99,234
18/01/2013, 480, 28,279
19/01/2013, 199, 96,277
21/01/2013, 800, 86,330
22/01/2013, 560, 16,178
23/01/2013, 277, 63,788
24/01/2013, 117, 94,400
25/01/2013, 780, 53,346
26/01/2013, ***, **,***
28/01/2013, 148, 32,200
29/01/2013, 457, 66,268
30/01/2013, 700, 70,145
31/01/2013, 455, 46,268
01/02/2013, 240, 68,233
02/02/2013, 239, 45,348
04/02/2013, 344, 19,379
05/02/2013, 147, 23,788
06/02/2013, 779, 35,267
07/02/2013, 788, 31,399
08/02/2013, 226, 09,199
09/02/2013, 134, 83,490
11/02/2013, 368, 79,339
12/02/2013, 237, 22,336
13/02/2013, 557, 79,450
14/02/2013, 580, 39,379
15/02/2013, 230, 53,256
16/02/2013, 359, 77,269
18/02/2013, 349, 67,278
19/02/2013, 289, 99,289
20/02/2013, 166, 35,267
21/02/2013, 236, 14,680
22/02/2013, 460, 03,139
23/02/2013, 267, 52,147
25/02/2013, 889, 53,120
26/02/2013, 480, 20,479
27/02/2013, 590, 41,678
28/02/2013, 122, 58,134
01/03/2013, 168, 50,460
02/03/2013, 678, 11,128
04/03/2013, 346, 38,260
05/03/2013, 778, 22,336
06/03/2013, 600, 68,260
07/03/2013, 237, 26,899
08/03/2013, 390, 22,679
09/03/2013, 570, 23,247
11/03/2013, 157, 36,240
12/03/2013, 230, 51,137
13/03/2013, 234, 92,246
14/03/2013, 130, 48,189
15/03/2013, 780, 54,167
16/03/2013, 468, 82,255
18/03/2013, 128, 16,600
19/03/2013, 167, 41,290
20/03/2013, 789, 41,236
21/03/2013, 248, 45,456
22/03/2013, 489, 10,145
23/03/2013, 269, 70,460
25/03/2013, 569, 03,580
26/03/2013, 489, 15,258
27/03/2013, ***, **,***
28/03/2013, 160, 79,469
29/03/2013, 178, 63,229
30/03/2013, 400, 43,247
01/04/2013, 379, 90,668
02/04/2013, 167, 40,235
03/04/2013, 179, 77,368
04/04/2013, 348, 52,237
05/04/2013, 345, 22,129
06/04/2013, 345, 26,349
08/04/2013, 270, 96,349
09/04/2013, 237, 22,570
10/04/2013, 888, 49,225
11/04/2013, 156, 24,446
12/04/2013, 246, 21,777
13/04/2013, 230, 50,569
15/04/2013, 345, 21,560
16/04/2013, 170, 81,137
17/04/2013, 260, 87,278
18/04/2013, 159, 50,668
19/04/2013, 358, 63,148
20/04/2013, 168, 56,178
22/04/2013, 234, 9*,***
23/04/2013, 239, 45,348
24/04/2013, 266, 45,122
25/04/2013, 799, 57,188
26/04/2013, 270, 92,480
27/04/2013, 490, 39,450
29/04/2013, 127, 00,190
30/04/2013, 347, 45,799
01/05/2013, 378, 81,335
02/05/2013, 134, 89,180
03/05/2013, 457, 62,228
04/05/2013, 180, 97,340
06/05/2013, 228, 22,156
07/05/2013, 127, 00,136
08/05/2013, 270, 98,990
09/05/2013, 477, 84,455
10/05/2013, 569, 06,556
11/05/2013, 239, 49,199
13/05/2013, 489, 15,366
14/05/2013, 335, 17,557
15/05/2013, 240, 68,279
16/05/2013, 389, 05,799
17/05/2013, 479, 09,234
18/05/2013, 490, 31,579
20/05/2013, 116, 87,700
21/05/2013, 667, 95,780
22/05/2013, 336, 21,588
23/05/2013, 259, 65,447
24/05/2013, 348, 52,390
25/05/2013, 369, 88,279
27/05/2013, 370, 06,457
28/05/2013, 456, 51,335
29/05/2013, 479, 00,479
30/05/2013, 170, 84,130
31/05/2013, 346, 32,129
01/06/2013, 122, 51,290
03/06/2013, 899, 69,577
04/06/2013, 248, 47,160
05/06/2013, 125, 83,355
06/06/2013, 469, 90,479
07/06/2013, 579, 16,349
08/06/2013, 136, 02,589
10/06/2013, 137, 19,478
11/06/2013, 577, 98,558
12/06/2013, 224, 83,580
13/06/2013, 158, 49,450
14/06/2013, 400, 47,340
15/06/2013, 268, 69,270
17/06/2013, 240, 60,578
18/06/2013, 780, 57,179
19/06/2013, 789, 42,147
20/06/2013, 180, 91,100
21/06/2013, 160, 73,157
22/06/2013, 228, 21,245
24/06/2013, 579, 19,199
25/06/2013, 266, 47,467
26/06/2013, 279, 85,159
27/06/2013, 179, 75,168
28/06/2013, 229, 33,247
29/06/2013, 344, 17,179
01/07/2013, 378, 83,148
02/07/2013, 880, 61,579
03/07/2013, 339, 55,348
04/07/2013, 126, 97,449
05/07/2013, 248, 43,445
06/07/2013, 790, 66,367
08/07/2013, 567, 83,490
09/07/2013, 579, 14,590
10/07/2013, 348, 54,130
11/07/2013, 240, 62,138
12/07/2013, 137, 12,660
13/07/2013, 155, 19,900
15/07/2013, 127, 03,256
16/07/2013, 368, 79,234
17/07/2013, 890, 70,460
18/07/2013, 590, 45,230
19/07/2013, 349, 69,289
20/07/2013, 578, 07,269
22/07/2013, 279, 83,139
23/07/2013, 580, 37,340
24/07/2013, 490, 39,379
25/07/2013, 688, 22,138
26/07/2013, 459, 83,346
27/07/2013, 238, 35,267
29/07/2013, 259, 61,137
30/07/2013, 456, 51,245
31/07/2013, 260, 82,589
01/08/2013, 890, 78,260
02/08/2013, 770, 47,160
03/08/2013, 368, 70,235
05/08/2013, 178, 64,149
06/08/2013, 578, 08,189
07/08/2013, 589, 21,137
08/08/2013, 139, 30,280
09/08/2013, ***, **,***
10/08/2013, 458, 78,145
12/08/2013, 457, 68,224
13/08/2013, 259, 64,338
14/08/2013, 223, 76,899
15/08/2013, ***, **,***
16/08/2013, 250, 71,489
17/08/2013, 135, 92,570
19/08/2013, 145, 05,159
20/08/2013, 240, 68,288
21/08/2013, 249, 55,249
22/08/2013, 259, 60,127
23/08/2013, 280, 08,477
24/08/2013, 234, 97,188
26/08/2013, 680, 46,448
27/08/2013, 690, 53,580
28/08/2013, 157, 39,239
29/08/2013, 469, 97,359
30/08/2013, 268, 60,190
31/08/2013, 234, 91,470
02/09/2013, 700, 75,339
03/09/2013, 368, 70,569
04/09/2013, 248, 28,369
05/09/2013, 338, 42,246
06/09/2013, 266, 45,799
07/09/2013, 799, 52,138
09/09/2013, ***, **,***
10/09/2013, 370, 01,290
11/09/2013, 244, 07,359
12/09/2013, 260, 81,146
13/09/2013, 589, 20,145
14/09/2013, 446, 48,189
16/09/2013, 256, 31,236
17/09/2013, 458, 77,250
18/09/2013, 357, 55,168
19/09/2013, 679, 27,359
20/09/2013, 368, 77,179
21/09/2013, 570, 24,158
23/09/2013, 249, 54,680
24/09/2013, 379, 95,889
25/09/2013, 490, 30,127
26/09/2013, 467, 73,346
27/09/2013, 148, 30,569
28/09/2013, 140, 59,135
30/09/2013, 159, 57,340
01/10/2013, 690, 59,388
02/10/2013, 112, 41,560
03/10/2013, 367, 68,567
04/10/2013, 379, 94,130
05/10/2013, 779, 37,890
07/10/2013, 156, 22,390
08/10/2013, 389, 03,166
09/10/2013, 490, 33,256
10/10/2013, 578, 06,556
11/10/2013, 279, 80,127
12/10/2013, 278, 71,236
14/10/2013, 660, 29,126
15/10/2013, 289, 93,689
16/10/2013, 126, 97,557
17/10/2013, 157, 33,157
18/10/2013, 468, 86,790
19/10/2013, 468, 82,679
21/10/2013, 690, 51,290
22/10/2013, 370, 03,157
23/10/2013, 348, 52,237
24/10/2013, 178, 68,260
25/10/2013, 679, 26,114
26/10/2013, 578, 03,346
28/10/2013, 117, 94,356
29/10/2013, 880, 64,239
30/10/2013, 378, 86,150
