date, leftPanel, pair, rightPanel
19/05/2014, 580, 39,126
20/05/2014, 236, 13,490
21/05/2014, 467, 73,779
22/05/2014, 134, 84,400
23/05/2014, 457, 65,456
24/05/2014, 123, 67,340
25/05/2014, 147, 27,377
26/05/2014, 135, 98,440
27/05/2014, 467, 77,160
28/05/2014, 240, 62,246
29/05/2014, 126, 90,488
30/05/2014, 668, 08,350
31/05/2014, 259, 69,126
01/06/2014, 180, 96,556
02/06/2014, 157, 31,678
03/06/2014, 124, 73,120
04/06/2014, 189, 86,900
05/06/2014, 588, 10,578
06/06/2014, 137, 10,136
07/06/2014, 239, 47,160
08/06/2014, 338, 45,780
09/06/2014, 569, 01,380
10/06/2014, 248, 42,579
11/06/2014, 378, 85,159
12/06/2014, 250, 78,134
13/06/2014, 566, 76,349
14/06/2014, 168, 58,116
15/06/2014, 350, 89,379
16/06/2014, 134, 84,356
17/06/2014, 370, 01,128
18/06/2014, 460, 08,116
19/06/2014, 129, 28,260
20/06/2014, 890, 70,226
21/06/2014, 459, 89,199
22/06/2014, 557, 79,450
23/06/2014, 115, 72,138
24/06/2014, 668, 04,114
25/06/2014, 340, 75,889
26/06/2014, 224, 80,460
27/06/2014, 257, 43,355
28/06/2014, 668, 01,227
29/06/2014, 160, 75,168
30/06/2014, 358, 64,590
01/07/2014, 247, 36,240
02/07/2014, 690, 55,159
03/07/2014, 227, 16,240
04/07/2014, 778, 21,290
05/07/2014, 289, 90,389
06/07/2014, 134, 82,246
07/07/2014, 667, 92,480
08/07/2014, 778, 23,490
09/07/2014, 457, 63,256
10/07/2014, 290, 18,260
11/07/2014, 128, 13,689
12/07/2014, 117, 95,267
13/07/2014, 459, 86,169
14/07/2014, 112, 48,134
15/07/2014, 120, 36,277
16/07/2014, 299, 00,370
17/07/2014, 268, 66,556
18/07/2014, 280, 09,900
19/07/2014, 349, 65,500
20/07/2014, 468, 81,470
21/07/2014, 380, 16,899
22/07/2014, 456, 55,159
23/07/2014, 188, 75,249
24/07/2014, 588, 16,899
25/07/2014, 140, 51,128
26/07/2014, 568, 96,268
27/07/2014, 134, 89,478
28/07/2014, 170, 89,388
29/07/2014, ***, **,***
30/07/2014, 347, 40,479
31/07/2014, 788, 33,490
01/08/2014, 130, 41,380
02/08/2014, 238, 33,580
03/08/2014, 559, 91,344
04/08/2014, 470, 14,455
05/08/2014, 770, 49,333
06/08/2014, 229, 32,110
07/08/2014, 300, 39,144
08/08/2014, 478, 91,290
09/08/2014, 229, 35,159
10/08/2014, ***, **,***
10/08/2013, 900, 99,270
11/08/2013, 127, 03,490
12/08/2013, 146, 17,458
13/08/2013, 277, 61,155
14/08/2013, ***, **,***
15/08/2013, 378, 88,279
16/08/2013, 679, 23,157
18/08/2014, 250, 76,240
19/08/2014, 550, 07,467
20/08/2014, 789, 41,245
21/08/2014, 123, 66,466
22/08/2014, 248, 48,134
23/08/2014, 567, 84,167
24/08/2014, 120, 33,139
25/08/2014, 470, 13,229
26/08/2014, 388, 96,457
27/08/2014, 457, 68,350
28/08/2014, 267, 50,488
29/08/2014, 680, 44,356
30/08/2014, 236, 11,100
31/08/2014, 389, 02,129
01/09/2014, 148, 37,449
02/09/2014, 400, 40,127
03/09/2014, 668, 07,179
04/09/2014, 156, 23,355
05/09/2014, 124, 73,580
06/09/2014, 577, 99,117
07/09/2014, 460, 09,379
08/09/2014, 690, 53,580
09/09/2014, 129, 25,889
10/09/2014, 789, 40,677
11/09/2014, 234, 90,569
12/09/2014, 688, 26,2777
13/09/2014, 678, 17,250
14/09/2014, 678, 17,250
15/09/2014, 168, 50,569
16/09/2014, 499, 23,157
17/09/2014, 378, 84,130
18/09/2014, 224, 82,480
19/09/2014, 233, 86,367
20/09/2014, 127, 04,347
21/09/2014, 590, 46,600
22/09/2014, 233, 84,446
23/09/2014, 257, 49,900
24/09/2014, 112, 49,568
25/09/2014, 178, 61,128
26/09/2014, 890, 73,788
27/09/2014, 790, 61,128
28/09/2014, 689, 34,266
29/09/2014, 679, 21,137
30/09/2014, 168, 58,279
01/10/2014, 890, 79,360
02/10/2014, 377, 38,279
03/10/2014, 188, 72,480
04/10/2014, 660, 20,370
05/10/2014, 346, 35,230
06/10/2014, 115, 75,889
07/10/2014, 260, 88,440
08/10/2014, 377, 71,146
09/10/2014, 568, 99,144
10/10/2014, 126, 99,559
11/10/2014, 148, 32,345
12/10/2014, 238, 35,357
13/10/2014, 123, 69,559
14/10/2014, 579, 17,566
15/10/2014, 900, 91,560
16/10/2014, 157, 38,459
17/10/2014, 250, 78,477
18/10/2014, 599, 37,124
19/10/2014, 399, 13,689
27/10/2014, ***, **,***
28/10/2014, 379, 92,237
29/10/2014, 248, 41,489
30/10/2014, 348, 50,370
31/10/2014, 356, 43,166
01/11/2014, 455, 42,246
02/11/2014, 346, 31,678
03/11/2014, 458, 75,555
04/11/2014, 790, 64,590
05/11/2014, 347, 48,378
06/11/2014, 238, 34,770
07/11/2014, 390, 24,347
08/11/2014, 138, 23,157
09/11/2014, 578, 00,488
10/11/2014, 228, 26,899
11/11/2014, 678, 15,168
12/11/2014, 890, 77,188
13/11/2014, 799, 51,579
14/11/2014, 120, 31,290
15/11/2014, 280, 09,577
16/11/2014, 699, 41,344
17/11/2014, 457, 69,180
18/11/2014, 359, 76,556
19/11/2014, 479, 09,270
20/11/2014, 477, 82,570
21/11/2014, 459, 86,259
22/11/2014, 123, 60,550
23/11/2014, 189, 86,790
24/11/2014, 158, 45,267
25/11/2014, 458, 76,600
26/11/2014, 580, 39,469
27/11/2014, 126, 90,145
28/11/2014, 478, 92,246
29/11/2014, 379, 98,170
30/11/2014, 345, 29,199
01/12/2014, 257, 40,136
02/12/2014, 139, 32,589
03/12/2014, 880, 65,113
04/12/2014, 129, 26,268
05/12/2014, 245, 11,579
06/12/2014, 390, 29,478
07/12/2014, 347, 43,670
08/12/2014, 450, 95,258
09/12/2014, 789, 42,589
10/12/2014, 338, 40,190
11/12/2014, 346, 32,589
12/12/2014, 479, 06,150
13/12/2014, 378, 80,479
14/12/2014, 188, 77,557
15/12/2014, 467, 78,170
16/12/2014, 489, 17,458
17/12/2014, 114, 60,370
18/12/2014, 270, 93,120
19/12/2014, 136, 05,140
20/12/2014, 134, 81,380
21/12/2014, 178, 64,356
22/12/2014, 600, 66,367
23/12/2014, 689, 39,270
24/12/2014, 167, 43,229
25/12/2014, 246, 29,900
26/12/2014, 290, 19,379
27/12/2014, 480, 23,256
28/12/2014, 335, 12,237
29/12/2014, 490, 32,138
30/12/2014, 240, 66,358
31/12/2014, 568, 96,259
01/01/2015, 135, 99,117
02/01/2015, 334, 01,290
03/01/2015, 890, 79,126
04/01/2015, 560, 14,347
05/01/2015, 459, 80,299
06/01/2015, 670, 37,566
07/01/2015, 440, 87,449
08/01/2015, 247, 33,689
09/01/2015, 489, 15,140
10/01/2015, 279, 80,190
11/01/2015, 480, 27,340
12/01/2015, 144, 97,179
13/01/2015, 788, 36,259
14/01/2015, ***, **,***
15/01/2015, 248, 49,126
16/01/2015, 257, 49,180
17/01/2015, 270, 92,138
18/01/2015, 160, 76,358
19/01/2015, 166, 38,468
20/01/2015, 126, 91,245
21/01/2015, 139, 33,580
22/01/2015, 380, 16,123
23/01/2015, 170, 88,260
24/01/2015, 127, 04,446
25/01/2015, 358, 64,149
26/01/2015, ***, **,***
27/01/2015, 138, 20,280
28/01/2015, 780, 52,480
29/01/2015, 145, 00,299
30/01/2015, 360, 92,660
31/01/2015, 369, 88,477
01/02/2015, 569, 03,238
02/02/2015, 280, 00,136
03/02/2015, 349, 64,257
04/02/2015, 778, 20,244
05/02/2015, 158, 49,126
06/02/2015, 145, 04,446
07/02/2015, 680, 41,245
08/02/2015, 247, 35,177
09/02/2015, 469, 96,114
10/02/2015, 479, 07,566
11/02/2015, 667, 92,138
12/02/2015, 470, 14,220
13/02/2015, 257, 43,670
14/02/2015, 134, 91,290
15/02/2015, 579, 17,269
16/02/2015, 567, 89,360
17/02/2015, 128, 16,349
18/02/2015, 367, 68,260
19/02/2015, 229, 30,488
20/02/2015, 349, 65,258
21/02/2015, 348, 53,157
22/02/2015, 140, 57,188
23/02/2015, 568, 93,580
24/02/2015, 889, 56,358
25/02/2015, 235, 00,460
26/02/2015, 226, 03,346
27/02/2015, 566, 71,399
28/02/2015, 360, 96,367
01/03/2015, 459, 87,223
02/03/2015, 577, 94,130
03/03/2015, 679, 25,230
04/03/2015, 140, 54,112
05/03/2015, 139, 36,259
06/03/2015, ***, **,***
07/03/2015, 340, 71,470
08/03/2015, 800, 83,238
09/03/2015, 245, 11,380
10/03/2015, 459, 87,449
11/03/2015, 569, 08,459
12/03/2015, 170, 88,125
13/03/2015, 348, 53,157
14/03/2015, 230, 56,457
15/03/2015, 478, 94,789
16/03/2015, 578, 02,147
17/03/2015, 568, 94,680
18/03/2015, 130, 46,600
19/03/2015, 133, 77,250
20/03/2015, 380, 15,357
21/03/2015, 160, 70,389
22/03/2015, 589, 27,179
23/03/2015, 789, 46,457
24/03/2015, 179, 78,558
25/03/2015, 239, 41,137
26/03/2015, 144, 90,235
27/03/2015, 168, 50,127
28/03/2015, 258, 50,136
29/03/2015, 479, 02,480
30/03/2015, 790, 65,500
31/03/2015, 169, 60,136
01/04/2015, 370, 02,570
02/04/2015, 456, 59,360
03/04/2015, 239, 48,189
04/04/2015, 359, 76,367
05/04/2015, 457, 65,159
06/04/2015, 239, 49,117
07/04/2015, 144, 96,358
08/04/2015, 126, 92,110
09/04/2015, 770, 42,589
10/04/2015, 112, 43,229
11/04/2015, 223, 72,679
12/04/2015, 138, 23,788
13/04/2015, 269, 72,390
14/04/2015, 390, 24,789
15/04/2015, 378, 85,357
16/04/2015, 478, 91,128
17/04/2015, 459, 87,278
18/04/2015, 378, 81,128
19/04/2015, 890, 75,177
20/04/2015, 146, 17,250
21/04/2015, 279, 89,667
22/04/2015, 167, 46,169
23/04/2015, 567, 88,369
24/04/2015, 350, 84,239
25/04/2015, 349, 61,380
26/04/2015, 124, 73,157
27/04/2015, 790, 67,467
28/04/2015, 890, 71,560
29/04/2015, 360, 99,379
30/04/2015, 168, 58,134
01/05/2015, 379, 94,680
02/05/2015, 478, 98,567
03/05/2015, 347, 42,129
04/05/2015, 347, 44,158
05/05/2015, 138, 27,467
06/05/2015, 367, 63,238
07/05/2015, 799, 56,457
08/05/2015, 500, 58,459
09/05/2015, 240, 65,456
10/05/2015, 236, 15,249
11/05/2015, 678, 17,890
12/05/2015, 236, 15,140
13/05/2015, 460, 05,348
14/05/2015, 369, 86,259
15/05/2015, 170, 87,278
16/05/2015, 368, 72,228
17/05/2015, 699, 41,489
18/05/2015, 159, 57,160
19/05/2015, 780, 57,188
20/05/2015, 128, 19,450
21/05/2015, 238, 34,356
22/05/2015, 389, 01,245
23/05/2015, 669, 14,130
24/05/2015, 447, 57,377
25/05/2015, 234, 99,478
26/05/2015, 155, 15,168
27/05/2015, 677, 06,169
28/05/2015, 123, 66,222
29/05/2015, 160, 79,234
30/05/2015, 344, 19,289
31/05/2015, 560, 19,469
01/06/2015, 188, 71,588
02/06/2015, 340, 74,789
03/06/2015, 125, 89,270
04/06/2015, 269, 72,480
05/06/2015, 488, 00,145
06/06/2015, 135, 99,289
07/06/2015, 150, 66,178
08/06/2015, 667, 91,678
09/06/2015, 680, 44,239
10/06/2015, 344, 10,118
11/06/2015, 288, 87,377
12/06/2015, 779, 30,280
13/06/2015, 360, 92,570
14/06/2015, 278, 72,138
15/06/2015, 489, 19,126
16/06/2015, 577, 93,670
17/06/2015, 224, 87,250
18/06/2015, 359, 71,470
19/06/2015, 256, 33,689
20/06/2015, 230, 59,667
21/06/2015, 390, 23,229
22/06/2015, 360, 97,467
23/06/2015, 355, 37,188
24/06/2015, 144, 90,280
25/06/2015, 277, 65,690
26/06/2015, 468, 82,200
27/06/2015, 578, 03,247
28/06/2015, 480, 22,200
29/06/2015, 235, 01,236
30/06/2015, 277, 69,577
01/07/2015, 580, 31,236
02/07/2015, 570, 22,688
03/07/2015, 367, 64,400
04/07/2015, 899, 67,278
05/07/2015, 178, 63,238
06/07/2015, 280, 05,168
07/07/2015, 890, 76,330
08/07/2015, 110, 27,458
09/07/2015, 145, 02,336
10/07/2015, 780, 55,267
11/07/2015, 455, 43,247
12/07/2015, 370, 09,478
13/07/2015, 455, 40,127
14/07/2015, 690, 54,248
15/07/2015, 356, 41,290
16/07/2015, 379, 99,568
17/07/2015, 690, 58,189
18/07/2015, ***, **,***
19/07/2015, ***, **,***
20/07/2015, 457, 62,660
21/07/2015, 128, 13,599
22/07/2015, 370, 09,379
23/07/2015, 368, 70,127
24/07/2015, 125, 84,158
25/07/2015, 678, 19,568
26/07/2015, 357, 59,199
27/07/2015, 267, 51,669
28/07/2015, 570, 24,590
29/07/2015, 244, 02,589
30/07/2015, 790, 69,568
31/07/2015, 600, 63,788
01/08/2015, 578, 06,259
02/08/2015, 134, 81,245
03/08/2015, 570, 23,599
04/08/2015, 568, 98,369
05/08/2015, 990, 89,199
06/08/2015, 233, 89,450
07/08/2015, 180, 96,600
08/08/2015, 189, 83,148
09/08/2015, 580, 32,147
10/08/2015, 679, 28,350
11/08/2015, 113, 52,778
12/08/2015, 335, 11,470
13/08/2015, 670, 37,269
14/08/2015, 144, 97,340
15/08/2015, ***, **,***
16/08/2015, ***, **,***
17/08/2015, 149, 44,455
18/08/2015, 778, 24,680
19/08/2015, 470, 10,334
20/08/2015, 677, 04,590
21/08/2015, 255, 25,780
22/08/2015, 336, 21,137
23/08/2015, 237, 25,159
24/08/2015, 148, 35,889
25/08/2015, 118, 07,700
26/08/2015, 300, 31,245
27/08/2015, 478, 97,557
28/08/2015, 559, 97,223
29/08/2015, 579, 13,337
30/08/2015, ***, **,***
31/08/2015, 399, 11,489
01/09/2015, 667, 95,799
02/09/2015, 688, 28,468
03/09/2015, 677, 08,260
04/09/2015, 135, 97,269
05/09/2015, 780, 51,489
06/09/2015, 128, 18,260
07/09/2015, 137, 11,227
08/09/2015, 178, 61,579
09/09/2015, 490, 38,800
10/09/2015, 237, 23,445
11/09/2015, 577, 93,229
12/09/2015, 244, 05,500
13/09/2015, 459, 86,367
14/09/2015, 239, 48,233
15/09/2015, 356, 41,227
16/09/2015, 259, 65,456
17/09/2015, 349, 66,259
18/09/2015, 688, 22,390
19/09/2015, 140, 52,345
20/09/2015, 389, 09,469
21/09/2015, 689, 32,200
22/09/2015, 240, 69,478
23/09/2015, 590, 47,467
24/09/2015, 460, 08,170
25/09/2015, 680, 41,579
26/09/2015, 120, 38,567
27/09/2015, 690, 53,247
28/09/2015, 289, 98,170
29/09/2015, 345, 22,444
30/09/2015, 138, 26,259
01/10/2015, 166, 35,249
02/10/2015, 580, 35,339
03/10/2015, 589, 28,116
04/10/2015, 348, 57,188
05/10/2015, 455, 45,780
06/10/2015, 480, 28,170
07/10/2015, 266, 45,168
08/10/2015, 490, 39,469
09/10/2015, 447, 52,778
10/10/2015, 456, 59,469
11/10/2015, 589, 27,124
12/10/2015, 147, 26,268
13/10/2015, 446, 42,589
14/10/2015, 233, 83,120
15/10/2015, 246, 20,370
16/10/2015, 569, 02,237
17/10/2015, 180, 94,770
18/10/2015, 380, 14,130
19/10/2015, 135, 91,290
20/10/2015, 136, 07,449
21/10/2015, 136, 08,189
22/10/2015, 158, 43,300
23/10/2015, 349, 66,259
24/10/2015, 126, 94,590
25/10/2015, 289, 97,368
26/10/2015, 568, 94,266
27/10/2015, 569, 01,579
28/10/2015, 578, 01,399
29/10/2015, 346, 35,780
30/10/2015, 279, 85,140
31/10/2015, 458, 72,138
01/11/2015, 259, 62,237
02/11/2015, 467, 76,222
03/11/2015, 467, 75,366
04/11/2015, 114, 62,200
05/11/2015, 113, 51,588
06/11/2015, 299, 08,233
