date, leftPanel, pair, rightPanel
19/05/2014, 349, 69,667
20/05/2014, 579, 14,149
21/05/2014, 160, 76,349
22/05/2014, 457, 61,380
23/05/2014, 670, 37,269
24/05/2014, 489, 18,189
26/05/2014, 154, 54,149
27/05/2014, 789, 42,255
28/05/2014, 150, 63,120
29/05/2014, 123, 63,139
30/05/2014, 446, 40,235
31/05/2014, 889, 51,579
02/06/2014, 139, 37,160
03/06/2014, 238, 36,123
04/06/2014, 245, 12,200
05/06/2014, 579, 19,900
06/06/2014, 358, 62,129
07/06/2014, 267, 56,466
09/06/2014, 149, 43,670
10/06/2014, 149, 48,468
11/06/2014, 122, 59,568
12/06/2014, 200, 29,126
13/06/2014, 567, 85,230
14/06/2014, 245, 19,117
16/06/2014, 113, 52,147
17/06/2014, 236, 13,120
18/06/2014, 678, 19,234
19/06/2014, 136, 03,238
20/06/2014, 135, 96,358
21/06/2014, 249, 50,569
23/06/2014, 128, 13,346
24/06/2014, 590, 49,234
25/06/2014, 459, 80,226
26/06/2014, 780, 56,790
27/06/2014, 338, 49,117
28/06/2014, 380, 11,146
30/06/2014, 550, 03,120
01/07/2014, 450, 98,260
02/07/2014, 267, 53,335
03/07/2014, 389, 09,478
04/07/2014, 345, 29,135
05/07/2014, 258, 56,178
07/07/2014, 588, 19,469
08/07/2014, 125, 84,130
09/07/2014, 138, 27,124
10/07/2014, 299, 00,550
11/07/2014, 148, 34,400
12/07/2014, 189, 88,260
14/07/2014, 148, 31,119
15/07/2014, 110, 29,360
16/07/2014, 370, 09,234
17/07/2014, 179, 77,115
18/07/2014, 124, 78,459
19/07/2014, 678, 15,177
21/07/2014, 139, 38,800
22/07/2014, 367, 62,246
23/07/2014, 255, 25,447
24/07/2014, 699, 42,228
25/07/2014, 120, 30,118
26/07/2014, 289, 91,290
28/07/2014, 226, 04,446
29/07/2014, ***, **,***
30/07/2014, 379, 93,139
31/07/2014, 456, 55,447
01/08/2014, 269, 79,667
02/08/2014, 389, 03,139
04/08/2014, 230, 52,228
05/08/2014, 128, 19,559
06/08/2014, 440, 89,667
07/08/2014, 145, 09,577
08/08/2014, 678, 11,236
09/08/2014, 240, 68,468
11/08/2014, 899, 68,134
12/08/2014, 138, 22,499
13/08/2014, 159, 50,334
14/08/2014, 138, 24,149
15/08/2014, ***, **,***
16/08/2014, 349, 66,457
18/08/2014, 357, 51,489
19/08/2014, 170, 88,990
20/08/2014, 160, 74,248
21/08/2014, 677, 09,225
22/08/2014, 166, 32,147
23/08/2014, 446, 41,227
25/08/2014, 146, 17,179
26/08/2014, 188, 73,238
27/08/2014, 145, 03,166
28/08/2014, 244, 09,559
29/08/2014, 256, 31,155
30/08/2014, 136, 07,458
01/09/2014, 346, 30,578
02/09/2014, 577, 98,260
03/09/2014, 470, 19,289
04/09/2014, 256, 31,344
05/09/2014, 144, 95,357
06/09/2014, 777, 41,245
08/09/2014, 156, 22,246
09/09/2014, 338, 45,690
10/09/2014, 589, 28,567
11/09/2014, 568, 95,140
12/09/2014, 149, 44,789
13/09/2014, 677, 02,336
15/09/2014, 260, 80,190
16/09/2014, 127, 07,179
17/09/2014, 159, 54,130
18/09/2014, 157, 35,690
19/09/2014, 480, 29,270
20/09/2014, 149, 43,229
22/09/2014, 116, 83,490
23/09/2014, 126, 91,137
24/09/2014, 345, 26,123
25/09/2014, 118, 07,115
26/09/2014, 156, 22,129
27/09/2014, 137, 18,260
29/09/2014, 139, 32,156
30/09/2014, 239, 47,124
01/10/2014, 467, 75,780
02/10/2014, 258, 58,558
03/10/2014, 359, 70,578
04/10/2014, 169, 61,128
06/10/2014, 670, 35,375
07/10/2014, 489, 11,119
08/10/2014, 369, 89,360
09/10/2014, 336, 52,129
10/10/2014, 880, 68,350
11/10/2014, 670, 33,689
13/10/2014, 140, 55,177
14/10/2014, 568, 90,280
15/10/2014, 228, 21,344
16/10/2014, 168, 58,233
17/10/2014, 334, 03,238
18/10/2014, 167, 46,790
27/10/2014, ***, **,***
28/10/2014, 578, 06,123
29/10/2014, 689, 35,357
30/10/2014, 127, 06,178
31/10/2014, 470, 13,788
01/11/2014, 567, 89,117
03/11/2014, 145, 06,457
04/11/2014, 248, 42,129
05/11/2014, 469, 93,166
06/11/2014, 678, 16,367
07/11/2014, 235, 03,689
08/11/2014, 478, 93,689
10/11/2014, 156, 28,170
11/11/2014, 125, 80,569
12/11/2014, 470, 11,128
13/11/2014, 458, 71,380
14/11/2014, 670, 34,590
15/11/2014, 366, 51,678
17/11/2014, 258, 51,344
18/11/2014, 147, 26,259
19/11/2014, 138, 23,490
20/11/2014, 169, 63,238
21/11/2014, 350, 88,468
22/11/2014, 179, 74,590
24/11/2014, 137, 10,569
25/11/2014, 159, 51,678
26/11/2014, 158, 42,660
27/11/2014, 357, 59,469
28/11/2014, 689, 33,788
29/11/2014, 120, 39,559
01/12/2014, 248, 13,580
02/12/2014, 224, 84,112
03/12/2014, 489, 18,116
04/12/2014, 129, 27,557
05/12/2014, 137, 10,235
06/12/2014, 477, 83,580
08/12/2014, 570, 27,890
09/12/2014, 447, 56,240
10/12/2014, 124, 72,129
11/12/2014, 137, 12,228
12/12/2014, 678, 14,158
13/12/2014, 227, 79,667
15/12/2014, 600, 66,457
16/12/2014, 167, 49,234
17/12/2014, 139, 34,167
18/12/2014, 580, 37,269
19/12/2014, 589, 23,670
20/12/2014, 560, 15,447
22/12/2014, 669, 12,237
23/12/2014, 100, 12,499
24/12/2014, 113, 58,459
25/12/2014, 567, 87,449
26/12/2014, 269, 72,589
27/12/2014, 579, 11,579
29/12/2014, 336, 22,679
30/12/2014, 149, 46,259
31/12/2014, 678, 17,250
01/01/2015, 139, 34,239
02/01/2015, 126, 95,113
03/01/2015, 388, 94,167
05/01/2015, 160, 74,239
06/01/2015, 367, 68,134
07/01/2015, 127, 01,146
08/01/2015, 356, 40,370
09/01/2015, 479, 02,679
10/01/2015, 788, 33,238
12/01/2015, 140, 57,269
13/01/2015, 169, 63,355
14/01/2015, ***, **,***
15/01/2015, 470, 12,246
16/01/2015, 345, 26,169
17/01/2015, 668, 08,440
19/01/2015, 269, 71,489
20/01/2015, 229, 36,114
21/01/2015, 150, 64,130
22/01/2015, 145, 09,478
23/01/2015, 157, 36,457
24/01/2015, 149, 45,267
26/01/2015, ***, **,***
27/01/2015, 120, 34,130
28/01/2015, 789, 48,800
29/01/2015, 790, 67,124
30/01/2015, 345, 27,890
31/01/2015, 599, 34,149
02/02/2015, 235, 01,137
03/02/2015, 226, 06,150
04/02/2015, 280, 05,168
05/02/2015, 155, 12,138
06/02/2015, 124, 70,578
07/02/2015, 689, 39,289
09/02/2015, 260, 87,999
10/02/2015, 359, 79,568
11/02/2015, 180, 97,467
12/02/2015, 180, 90,235
13/02/2015, 900, 96,277
14/02/2015, 137, 14,158
16/02/2015, 579, 10,488
17/02/2015, 357, 53,148
18/02/2015, 579, 11,380
19/02/2015, 247, 36,880
20/02/2015, 159, 53,148
21/02/2015, 117, 93,346
23/02/2015, 124, 71,290
24/02/2015, 900, 95,249
25/02/2015, 246, 23,670
26/02/2015, 359, 77,557
27/02/2015, 170, 81,470
28/02/2015, 178, 65,258
02/03/2015, 166, 35,140
03/03/2015, 390, 22,570
04/03/2015, 340, 70,145
05/03/2015, 468, 89,289
06/03/2015, ***, **,***
07/03/2015, 368, 72,499
09/03/2015, 137, 11,236
10/03/2015, 339, 58,350
11/03/2015, 237, 26,150
12/03/2015, 135, 99,126
13/03/2015, 123, 67,890
14/03/2015, 147, 24,400
16/03/2015, 466, 66,178
17/03/2015, 145, 07,890
18/03/2015, 178, 63,788
19/03/2015, 247, 30,479
20/03/2015, 149, 48,170
21/03/2015, 679, 24,789
23/03/2015, 359, 75,168
24/03/2015, 599, 32,156
25/03/2015, 350, 85,780
26/03/2015, 490, 33,779
27/03/2015, 478, 93,670
28/03/2015, 112, 45,249
30/03/2015, 570, 27,890
31/03/2015, 669, 10,479
01/04/2015, 335, 10,578
02/04/2015, 169, 61,128
03/04/2015, 146, 11,588
04/04/2015, 158, 43,580
06/04/2015, 345, 28,350
07/04/2015, 456, 50,668
08/04/2015, 456, 53,689
09/04/2015, 260, 88,279
