date, leftPanel, pair, rightPanel
28/12/2015, 179, 71,344
29/12/2015, 258, 51,380
30/12/2015, 780, 52,390
31/12/2015, 570, 23,148
01/01/2016, 369, 84,789
04/01/2016, 136, 00,479
05/01/2016, 167, 43,148
06/01/2016, 349, 68,288
07/01/2016, 488, 00,668
08/01/2016, 466, 63,229
11/01/2016, 145, 03,247
12/01/2016, 123, 69,180
13/01/2016, 136, 06,358
14/01/2016, ***, **,***
15/01/2016, 346, 38,459
18/01/2016, 234, 90,280
19/01/2016, 389, 02,589
20/01/2016, 117, 92,129
21/01/2016, 129, 26,899
22/01/2016, 479, 02,138
25/01/2016, 679, 25,348
26/01/2016, ***, **,***
27/01/2016, 169, 64,158
28/01/2016, 790, 66,556
29/01/2016, 237, 27,124
01/02/2016, 169, 66,358
02/02/2016, 248, 45,258
03/02/2016, 680, 44,347
04/02/2016, 130, 44,239
05/02/2016, 167, 48,378
08/02/2016, 235, 06,880
09/02/2016, 237, 24,257
10/02/2016, 458, 77,278
11/02/2016, 567, 83,120
12/02/2016, 234, 93,238
15/02/2016, 138, 27,124
16/02/2016, 180, 97,133
17/02/2016, 358, 68,189
18/02/2016, 199, 90,136
19/02/2016, 129, 21,489
22/02/2016, 880, 65,690
23/02/2016, 160, 75,500
24/02/2016, 470, 17,124
25/02/2016, 580, 30,280
26/02/2016, 460, 07,269
29/02/2016, 679, 25,456
01/03/2016, 260, 88,134
02/03/2016, 590, 44,590
03/03/2016, 235, 09,270
04/03/2016, 379, 94,266
07/03/2016, 455, 44,220
08/03/2016, 135, 96,367
09/03/2016, 267, 50,460
10/03/2016, 238, 36,899
11/03/2016, 357, 50,280
14/03/2016, 669, 17,160
15/03/2016, 189, 83,229
16/03/2016, 446, 43,599
17/03/2016, 170, 84,149
18/03/2016, 790, 64,590
21/03/2016, 160, 74,680
22/03/2016, 146, 13,779
23/03/2016, 267, 57,368
24/03/2016, ***, **,***
25/03/2016, 117, 99,234
28/03/2016, 137, 15,456
29/03/2016, 258, 56,367
30/03/2016, 380, 15,339
31/03/2016, 378, 82,336
01/04/2016, 379, 98,260
04/04/2016, 590, 42,147
05/04/2016, 460, 05,780
06/04/2016, 780, 54,248
07/04/2016, 138, 27,458
08/04/2016, 579, 15,447
11/04/2016, 158, 49,469
12/04/2016, 246, 20,677
13/04/2016, 389, 03,247
14/04/2016, 478, 96,880
15/04/2016, 350, 82,156
18/04/2016, 149, 47,179
19/04/2016, 368, 75,799
20/04/2016, 567, 82,336
21/04/2016, 168, 52,110
22/04/2016, 890, 79,379
25/04/2016, 249, 58,260
26/04/2016, 380, 15,780
27/04/2016, 236, 12,147
28/04/2016, 889, 58,800
29/04/2016, 378, 87,124
02/05/2016, 890, 77,449
03/05/2016, 488, 08,459
04/05/2016, 123, 66,114
05/05/2016, 568, 93,490
06/05/2016, 480, 24,149
09/05/2016, 130, 47,467
10/05/2016, 349, 65,780
11/05/2016, 679, 23,346
12/05/2016, 379, 94,680
13/05/2016, 445, 33,256
16/05/2016, 240, 66,169
17/05/2016, 458, 72,660
18/05/2016, 350, 84,130
19/05/2016, 370, 05,456
20/05/2016, 567, 85,230
23/05/2016, 349, 69,478
24/05/2016, 223, 72,138
25/05/2016, 457, 64,356
26/05/2016, 456, 52,778
27/05/2016, 590, 43,148
30/05/2016, 156, 20,136
31/05/2016, 669, 15,249
01/06/2016, 244, 06,448
02/06/2016, 259, 68,350
03/06/2016, 247, 32,480
06/06/2016, 149, 47,700
07/06/2016, 180, 93,247
08/06/2016, 489, 15,258
09/06/2016, 780, 52,570
10/06/2016, 448, 68,279
13/06/2016, 455, 49,450
14/06/2016, 600, 69,126
15/06/2016, 157, 36,457
16/06/2016, 148, 33,238
17/06/2016, 158, 46,114
20/06/2016, 568, 90,127
21/06/2016, 247, 37,115
22/06/2016, 357, 56,358
23/06/2016, 179, 70,280
24/06/2016, 130, 49,568
27/06/2016, 235, 05,348
28/06/2016, 140, 57,557
29/06/2016, 129, 29,379
30/06/2016, 449, 72,589
01/07/2016, 160, 73,148
04/07/2016, 234, 99,126
05/07/2016, 389, 07,467
06/07/2016, 160, 75,366
07/07/2016, ***, **,***
08/07/2016, 560, 19,270
11/07/2016, 234, 90,280
12/07/2016, 479, 07,188
