date, leftPanel, pair, rightPanel
01/08/2016, 690, 59,559
02/08/2016, 460, 01,146
03/08/2016, 168, 59,144
04/08/2016, 799, 54,158
05/08/2016, 167, 42,138
01/08/2016, 248, 47,557
02/08/2016, 255, 23,256
03/08/2016, 455, 46,268
04/08/2016, 178, 62,147
05/08/2016, 249, 62,246
08/08/2016, 670, 31,236
09/08/2016, 580, 36,466
10/08/2016, 336, 24,356
11/08/2016, 125, 89,478
12/08/2016, 560, 10,226
15/08/2016, ***, **,***
16/08/2016, 350, 81,344
17/08/2016, 689, 31,236
18/08/2016, 368, 79,289
19/08/2016, 127, 07,269
22/08/2016, 566, 79,478
23/08/2016, 125, 86,358
24/08/2016, 146, 12,138
25/08/2016, 458, 78,279
26/08/2016, 167, 43,247
29/08/2016, 579, 14,356
30/08/2016, 137, 11,290
31/08/2016, 599, 34,680
01/09/2016, 699, 45,690
02/09/2016, 178, 60,145
05/09/2016, 369, 87,557
06/09/2016, 140, 58,224
07/09/2016, 177, 52,156
08/09/2016, 280, 04,789
09/09/2016, 679, 26,358
12/09/2016, 355, 33,148
13/09/2016, 378, 80,389
14/09/2016, 238, 33,490
15/09/2016, 289, 99,450
16/09/2016, 359, 73,580
19/09/2016, 278, 73,157
20/09/2016, 478, 93,580
21/09/2016, 299, 02,156
22/09/2016, 129, 21,236
23/09/2016, 334, 01,146
26/09/2016, 146, 10,136
27/09/2016, 599, 34,400
28/09/2016, 339, 59,469
29/09/2016, 137, 19,469
30/09/2016, 170, 86,150
03/10/2016, 458, 72,237
04/10/2016, 245, 19,180
05/10/2016, 467, 71,579
06/10/2016, 159, 50,226
07/10/2016, 340, 78,233
10/10/2016, 245, 15,168
11/10/2016, 130, 44,239
12/10/2016, 789, 46,178
13/10/2016, 257, 43,148
14/10/2016, 578, 08,260
17/10/2016, 890, 79,568
18/10/2016, 360, 99,234
19/10/2016, 240, 66,268
20/10/2016, 223, 72,255
21/10/2016, 138, 29,478
24/10/2016, 367, 62,589
25/10/2016, 230, 57,124
26/10/2016, 459, 80,569
27/10/2016, ***, **,***
28/10/2016, ***, **,***
31/10/2016, ***, **,***
01/11/2016, ***, **,***
02/11/2016, 460, 07,368
03/11/2016, 567, 83,580
04/11/2016, 344, 16,150
07/11/2016, 256, 37,359
08/11/2016, 467, 73,247
09/11/2016, 189, 85,168
10/11/2016, 239, 44,266
11/11/2016, 256, 39,469
14/11/2016, 157, 38,134
15/11/2016, 180, 94,590
16/11/2016, 450, 98,134
17/11/2016, 380, 13,120
18/11/2016, 169, 65,249
21/11/2016, 148, 34,149
22/11/2016, 170, 86,367
23/11/2016, 139, 31,560
24/11/2016, 678, 11,236
25/11/2016, 399, 19,450
28/11/2016, 458, 79,135
29/11/2016, 250, 76,178
30/11/2016, 136, 06,259
01/12/2016, 144, 97,449
02/12/2016, 240, 65,357
28/11/2016, 690, 53,256
29/11/2016, 246, 24,590
30/11/2016, 249, 54,158
01/12/2016, 889, 52,138
02/12/2016, 335, 11,470
12/12/2016, 578, 08,170
13/12/2016, 169, 68,279
14/12/2016, 567, 83,346
15/12/2016, 270, 98,134
16/12/2016, 136, 01,380
19/12/2016, 489, 11,579
20/12/2016, 258, 56,899
21/12/2016, 238, 38,350
22/12/2016, 460, 04,347
23/12/2016, 369, 83,599
26/12/2016, 347, 48,260
27/12/2016, 290, 19,135
28/12/2016, 257, 40,569
29/12/2016, 237, 25,348
30/12/2016, 113, 54,347
02/01/2017, 790, 66,259
03/01/2017, 356, 40,488
04/01/2017, 566, 74,257
05/01/2017, 247, 33,157
06/01/2017, 289, 96,178
09/01/2017, 570, 27,700
10/01/2017, 239, 40,460
11/01/2017, 126, 98,279
12/01/2017, 249, 51,137
13/01/2017, 280, 08,350
16/01/2017, 359, 76,367
17/01/2017, 480, 28,459
18/01/2017, 288, 81,489
19/01/2017, 279, 80,244
20/01/2017, 499, 28,567
23/01/2017, 227, 11,146
24/01/2017, 144, 90,479
25/01/2017, 479, 02,255
26/01/2017, ***, **,***
27/01/2017, 450, 99,469
30/01/2017, 134, 80,688
31/01/2017, 567, 83,157
01/02/2017, 455, 46,457
02/02/2017, 269, 73,779
03/02/2017, 688, 26,259
06/02/2017, 129, 24,239
07/02/2017, 349, 62,660
08/02/2017, 146, 11,489
09/02/2017, 679, 27,359
10/02/2017, 230, 59,135
13/02/2017, 560, 11,146
14/02/2017, 458, 75,168
15/02/2017, 579, 16,349
16/02/2017, 399, 12,660
17/02/2017, 790, 62,679
20/02/2017, 680, 44,356
21/02/2017, 447, 53,139
22/02/2017, 18P, 97,566
23/02/2017, 380, 13,580
24/02/2017, 200, 26,268
27/02/2017, 230, 50,4U9
28/02/2017, 229, 31,470
01/03/2017, 289, 94,149
02/03/2017, 337, 32,570
03/03/2017, 156, 27,179
06/03/2017, 459, 89,270
07/03/2017, 140, 51,146
08/03/2017, 790, 60,460
09/03/2017, 680, 40,235
10/03/2017, 670, 34,167
13/03/2017, ***, **,***
14/03/2017, 380, 18,477
15/03/2017, 580, 39,388
16/03/2017, 155, 15,249
17/03/2017, 234, 91,236
18/03/2017, 249, 58,170
19/03/2017, 146, 17,700
20/03/2017, 177, 55,159
21/03/2017, 690, 53,157
22/03/2017, 360, 93,580
27/03/2017, 135, 97,179
28/03/2017, 347, 43,580
29/03/2017, 468, 81,137
30/03/2017, 458, 77,269
31/03/2017, 569, 05,339
03/04/2017, 114, 69,117
04/04/2017, 140, 54,158
05/04/2017, 127, 01,146
06/04/2017, 120, 38,279
07/04/2017, 160, 74,356
10/04/2017, 449, 74,239
11/04/2017, 369, 89,126
12/04/2017, 566, 78,378
13/04/2017, 124, 78,459
14/04/2017, 488, 00,569
17/04/2017, 155, 13,139
18/04/2017, 579, 11,128
19/04/2017, 456, 57,890
20/04/2017, 578, 08,260
21/04/2017, 588, 15,339
24/04/2017, 168, 54,699
25/04/2017, 260, 83,490
26/04/2017, 120, 31,470
27/04/2017, 469, 93,157
28/04/2017, 347, 43,157
01/05/2017, 447, 51,245
02/05/2017, 128, 12,570
03/05/2017, 440, 81,227
04/05/2017, 157, 35,366
05/05/2017, 228, 21,146
08/05/2017, 127, 04,248
09/05/2017, 890, 78,189
10/05/2017, 588, 19,559
11/05/2017, 234, 91,245
12/05/2017, 457, 67,368
15/05/2017, 990, 84,680
16/05/2017, 349, 66,268
17/05/2017, 250, 77,458
18/05/2017, 260, 86,790
19/05/2017, 233, 83,580
22/05/2017, 120, 32,660
23/05/2017, 790, 66,240
24/05/2017, 244, 06,268
25/05/2017, 226, 06,178
26/05/2017, 580, 35,168
29/05/2017, 479, 04,112
30/05/2017, 345, 21,128
31/05/2017, 267, 57,278
01/06/2017, 770, 49,289
02/06/2017, 359, 75,456
05/06/2017, 680, 44,248
06/06/2017, 158, 40,550
07/06/2017, 389, 05,366
08/06/2017, 235, 09,135
09/06/2017, 280, 02,237
12/06/2017, 268, 68,468
13/06/2017, 270, 98,170
14/06/2017, 239, 49,388
15/06/2017, 248, 49,568
16/06/2017, 336, 25,339
26/06/2017, ***, **,***
27/06/2017, 246, 25,122
28/06/2017, 256, 34,590
29/06/2017, 179, 79,478
30/06/2017, 468, 84,789
03/07/2017, 690, 51,290
04/07/2017, 112, 40,244
05/07/2017, 570, 27,160
06/07/2017, 279, 87,467
07/07/2017, 479, 05,159
10/07/2017, 355, 39,568
11/07/2017, 468, 88,477
12/07/2017, 170, 83,148
13/07/2017, 334, 07,458
14/07/2017, 356, 44,347
15/07/2017, 589, 29,270
16/07/2017, 238, 31,560
17/07/2017, 129, 22,147
18/07/2017, 479, 00,127
19/07/2017, 456, 59,289
24/07/2017, 270, 95,140
25/07/2017, 149, 48,459
26/07/2017, 560, 12,570
27/07/2017, 235, 08,567
28/07/2017, 155, 10,578
31/07/2017, 600, 64,239
01/08/2017, 579, 18,567
02/08/2017, 278, 75,122
03/08/2017, 460, 09,289
04/08/2017, 580, 30,299
07/08/2017, 127, 05,230
08/08/2017, 790, 66,358
09/08/2017, 270, 96,349
10/08/2017, 259, 64,248
11/08/2017, 124, 72,679
14/08/2017, 260, 88,224
15/08/2017, ***, **,***
16/08/2017, 390, 29,180
17/08/2017, 125, 88,189
18/08/2017, 359, 76,358
22/08/2017, 367, 68,350
23/08/2017, 127, 05,168
24/08/2017, 567, 80,389
25/08/2017, 280, 04,130
26/08/2017, 369, 85,140
28/08/2017, 247, 36,790
29/08/2017, 370, 06,169
30/08/2017, 246, 28,440
31/08/2017, 238, 32,336
01/09/2017, 345, 23,355
04/09/2017, 145, 06,330
05/09/2017, 678, 15,357
06/09/2017, 229, 37,160
07/09/2017, 457, 52,156
08/09/2017, 158, 48,134
11/09/2017, 257, 46,349
12/09/2017, 180, 98,170
13/09/2017, 259, 69,900
14/09/2017, 579, 19,568
15/09/2017, 157, 36,178
18/09/2017, 377, 74,680
19/09/2017, 600, 69,135
20/09/2017, 569, 03,670
21/09/2017, 479, 01,227
22/09/2017, 268, 62,246
25/09/2017, 135, 93,788
26/09/2017, 580, 32,570
27/09/2017, 346, 32,679
28/09/2017, 268, 65,357
29/09/2017, 157, 30,578
02/10/2017, 230, 53,670
03/10/2017, 459, 81,155
04/10/2017, 456, 54,789
05/10/2017, 340, 77,269
06/10/2017, 157, 36,790
09/10/2017, 260, 84,770
10/10/2017, 147, 23,238
11/10/2017, 235, 02,778
12/10/2017, 126, 90,145
13/10/2017, 589, 29,568
16/10/2017, ***, **,***
17/10/2017, ***, **,***
18/10/2017, ***, **,***
19/10/2017, ***, **,***
20/10/2017, ***, **,***
23/10/2017, 250, 74,257
24/10/2017, 129, 20,145
25/10/2017, 239, 40,370
26/10/2017, 145, 09,199
27/10/2017, 138, 21,399
30/10/2017, 227, 10,370
31/10/2017, 690, 56,349
01/11/2017, 588, 15,168
02/11/2017, 480, 28,134
03/11/2017, 400, 43,238
06/11/2017, 780, 57,566
07/11/2017, 478, 93,346
08/11/2017, 678, 18,567
09/11/2017, 457, 60,479
10/11/2017, 128, 73,689
13/11/2017, 668, 00,299
14/11/2017, 149, 40,280
15/11/2017, 136, 09,478
16/11/2017, 459, 80,479
17/11/2017, 789, 45,159
20/11/2017, 133, 72,147
21/11/2017, 238, 35,159
22/11/2017, 146, 11,380
23/11/2017, 128, 12,589
24/11/2017, 290, 18,468
27/11/2017, 249, 54,257
28/11/2017, 590, 40,578
29/11/2017, 556, 68,170
30/11/2017, 339, 57,179
01/12/2017, 280, 04,680
04/12/2017, 389, 04,699
05/12/2017, 359, 76,349
06/12/2017, 567, 88,233
07/12/2017, 269, 77,458
08/12/2017, 890, 78,134
11/12/2017, 770, 49,270
12/12/2017, 680, 46,358
13/12/2017, 568, 92,390
14/12/2017, 489, 16,556
15/12/2017, 680, 49,225
18/12/2017, 190, 00,479
19/12/2017, 160, 71,236
20/12/2017, 400, 42,138
21/12/2017, 367, 68,125
22/12/2017, 478, 92,679
25/12/2017, 457, 65,230
26/12/2017, 145, 09,180
27/12/2017, 115, 74,446
28/12/2017, 345, 20,569
29/12/2017, 189, 81,128
01/01/2018, 226, 08,459
02/01/2018, 240, 61,146
03/01/2018, 268, 65,267
04/01/2018, 580, 38,468
05/01/2018, 577, 95,348
08/12/2018, 259, 66,277
09/12/2018, 269, 71,146
10/12/2018, 469, 99,450
11/12/2018, 277, 66,367
12/12/2018, 260, 85,447
15/01/2018, 249, 50,230
16/01/2018, 479, 07,566
17/01/2018, 247, 30,226
18/01/2018, 159, 57,340
19/01/2018, 247, 33,670
22/01/2018, 570, 23,139
23/01/2018, 679, 23,256
24/01/2018, 357, 52,147
25/01/2018, 244, 09,190
26/01/2018, ***, **,***
29/01/2018, 157, 33,247
30/01/2018, 156, 21,588
31/01/2018, 250, 78,990
01/02/2018, 567, 89,379
02/02/2018, 134, 82,390
05/02/2018, 560, 19,478
06/02/2018, 299, 03,148
07/02/2018, 168, 53,355
08/02/2018, 228, 27,467
09/02/2018, 120, 37,160
12/02/2018, 680, 42,255
13/02/2018, 356, 41,245
14/02/2018, 599, 37,223
15/02/2018, 140, 59,478
16/02/2018, 690, 55,780
19/02/2018, 140, 52,237
20/02/2018, 137, 10,569
21/02/2018, 168, 53,256
22/02/2018, 124, 76,268
23/02/2018, 349, 62,688
26/02/2018, 389, 05,267
27/02/2018, 266, 47,890
28/02/2018, 450, 95,780
01/03/2018, 690, 53,490
02/03/2018, ***, **,***
05/03/2018, 179, 72,390
06/03/2018, 220, 49,478
07/03/2018, 129, 29,289
08/03/2018, 390, 27,160
09/03/2018, 344, 15,230
12/03/2018, 458, 72,570
13/03/2018, 129, 27,188
14/03/2018, 259, 67,269
15/03/2018, 369, 82,345
16/03/2018, 358, 64,680
19/03/2018, 340, 78,477
20/03/2018, 350, 88,459
21/03/2018, 148, 39,135
22/03/2018, 289, 98,125
23/03/2018, 458, 74,257
26/03/2018, 260, 82,237
27/03/2018, 114, 65,113
28/03/2018, 148, 30,226
29/03/2018, 568, 96,240
30/03/2018, 279, 83,157
02/04/2018, 460, 02,129
03/04/2018, 135, 99,469
04/04/2018, 348, 55,168
05/04/2018, 120, 36,358
06/04/2018, 357, 52,679
09/04/2018, 378, 80,127
10/04/2018, 369, 80,334
11/04/2018, 380, 11,137
12/04/2018, 268, 64,158
13/04/2018, 146, 19,126
16/04/2018, 279, 81,245
17/04/2018, 138, 24,167
18/04/2018, 257, 41,470
19/04/2018, 489, 13,238
20/04/2018, 137, 15,366
23/04/2018, 145, 00,668
24/04/2018, 113, 56,259
