date, leftPanel, pair, rightPanel
28/01/2019, 130, 45,230
29/01/2019, 126, 97,223
30/01/2019, 380, 18,170
31/01/2019, 379, 90,118
01/02/2019, 114, 65,799
02/02/2019, 138, 29,199
03/02/2019, 224, 80,280
04/02/2019, 900, 93,139
05/02/2019, 459, 80,668
06/02/2019, 226, 00,136
07/02/2019, 113, 55,159
08/02/2019, 115, 73,490
09/02/2019, 890, 72,255
10/02/2019, 588, 17,557
11/02/2019, 679, 24,590
12/02/2019, 578, 00,136
13/02/2019, 248, 49,568
14/02/2019, 245, 10,280
15/02/2019, 489, 19,270
16/02/2019, 116, 85,177
17/02/2019, 350, 87,124
18/02/2019, 128, 15,267
19/02/2019, 135, 99,360
20/02/2019, 669, 19,388
21/02/2019, 478, 99,117
22/02/2019, 560, 15,690
23/02/2019, 379, 97,160
24/02/2019, 689, 30,127
25/02/2019, 890, 77,160
26/02/2019, 134, 86,457
27/02/2019, 110, 23,490
28/02/2019, 778, 29,577
01/03/2019, 567, 88,125
02/03/2019, 156, 25,348
03/03/2019, 459, 88,170
04/03/2019, 235, 07,124
05/03/2019, 299, 02,480
06/03/2019, 125, 89,144
07/03/2019, 257, 41,344
08/03/2019, 118, 06,358
09/03/2019, 117, 90,244
10/03/2019, 135, 91,137
11/03/2019, 799, 56,240
12/03/2019, 288, 88,666
13/03/2019, 278, 76,367
14/03/2019, 688, 28,116
15/03/2019, 780, 56,268
16/03/2019, 189, 80,226
17/03/2019, 579, 12,138
18/03/2019, 127, 08,134
19/03/2019, 345, 20,190
20/03/2019, 128, 14,789
21/03/2019, ***, **,***
22/03/2019, 780, 50,460
23/03/2019, 147, 21,678
24/03/2019, 479, 00,127
25/03/2019, 200, 24,149
26/03/2019, 140, 51,155
27/03/2019, 147, 21,335
28/03/2019, 578, 03,148
29/03/2019, 479, 07,278
30/03/2019, 236, 15,258
31/03/2019, 280, 09,469
01/04/2019, 388, 92,345
02/04/2019, 167, 40,550
03/04/2019, 569, 09,900
04/04/2019, 248, 42,390
05/04/2019, 130, 44,257
06/04/2019, 190, 06,899
07/04/2019, 279, 86,178
08/04/2019, 146, 16,880
09/04/2019, 158, 42,336
10/04/2019, 579, 14,356
11/04/2019, 120, 37,179
12/04/2019, 488, 02,255
13/04/2019, 133, 72,679
14/04/2019, 117, 98,378
15/04/2019, 577, 99,126
16/04/2019, 200, 28,116
