date, leftPanel, pair, rightPanel
26/02/2018, 200, 22,660
27/02/2018, 139, 39,568
28/02/2018, 380, 19,450
01/03/2018, 779, 33,256
02/03/2018, ***, **,***
03/03/2018, 180, 95,122
04/03/2018, 345, 20,226
05/03/2018, 334, 08,440
06/03/2018, 115, 85,140
07/03/2018, 136, 06,600
08/03/2018, 170, 88,170
09/03/2018, 500, 52,138
10/03/2018, 456, 53,689
11/03/2018, 570, 28,125
12/03/2018, 259, 66,169
13/03/2018, 560, 19,289
14/03/2018, 790, 66,899
15/03/2018, 689, 33,580
16/03/2018, 335, 16,178
17/03/2018, 236, 10,460
18/03/2018, 227, 17,458
19/03/2018, 118, 08,440
20/03/2018, 190, 02,129
21/03/2018, 389, 02,480
22/03/2018, 114, 64,167
23/03/2018, 136, 03,788
24/03/2018, 233, 86,790
25/03/2018, 120, 30,677
26/03/2018, 148, 39,135
27/03/2018, 247, 36,123
28/03/2018, 239, 45,348
29/03/2018, 168, 51,128
30/03/2018, 346, 31,470
31/03/2018, 567, 89,126
01/04/2018, 444, 25,780
02/04/2018, 147, 22,480
03/04/2018, 369, 88,125
04/04/2018, 226, 01,399
05/04/2018, 122, 59,478
06/04/2018, 113, 55,122
07/04/2018, 258, 59,126
08/04/2018, 348, 59,360
09/04/2018, 780, 56,123
10/04/2018, 450, 91,236
11/04/2018, 125, 86,790
12/04/2018, 359, 75,168
13/04/2018, 260, 81,137
14/04/2018, 249, 57,999
15/04/2018, 449, 78,279
16/04/2018, 170, 88,558
17/04/2018, 135, 92,390
18/04/2018, 556, 66,367
19/04/2018, 258, 57,223
20/04/2018, 379, 99,126
21/04/2018, 467, 71,579
22/04/2018, 255, 20,578
23/04/2018, 667, 98,170
24/04/2018, 700, 74,347
25/04/2018, 278, 71,335
26/04/2018, 126, 91,155
27/04/2018, 255, 98,288
28/04/2018, 450, 92,237
29/04/2018, 227, 13,788
30/04/2018, 140, 51,137
01/05/2018, 479, 09,360
02/05/2018, 580, 34,455
03/05/2018, 900, 98,260
04/05/2018, 334, 03,148
05/05/2018, 118, 09,225
06/05/2018, 158, 49,144
07/05/2018, 488, 05,118
08/05/2018, 226, 04,590
09/05/2018, 246, 21,137
10/05/2018, 460, 00,127
11/05/2018, 499, 20,127
12/05/2018, 380, 19,568
13/05/2018, 120, 37,115
14/05/2018, 570, 20,578
15/05/2018, 679, 27,278
16/05/2018, 145, 08,279
17/05/2018, 229, 33,346
18/05/2018, 466, 69,388
19/05/2018, 160, 77,115
20/05/2018, 289, 99,180
21/05/2018, 199, 90,688
22/05/2018, 160, 78,440
23/05/2018, 370, 03,238
24/05/2018, 467, 71,245
25/05/2018, 340, 70,136
26/05/2018, 148, 35,447
27/05/2018, 348, 51,560
28/05/2018, 788, 34,220
29/05/2018, 167, 44,112
30/05/2018, 134, 19,144
31/05/2018, 490, 39,559
01/06/2018, 166, 32,129
02/06/2018, 125, 84,130
03/06/2018, 780, 51,100
04/06/2018, 277, 65,456
05/06/2018, 350, 87,467
06/06/2018, 357, 54,347
07/06/2018, 699, 43,580
08/06/2018, 590, 48,288
09/06/2018, 190, 06,123
10/06/2018, 259, 62,499
11/06/2018, 568, 92,336
12/06/2018, 559, 90,389
13/06/2018, 890, 71,560
14/06/2018, 467, 70,136
15/06/2018, 124, 73,148
16/06/2018, 567, 87,179
17/06/2018, 000, 08,260
18/06/2018, 477, 83,670
19/06/2018, 278, 70,145
20/06/2018, 568, 96,222
21/06/2018, 380, 13,120
22/06/2018, 270, 96,240
23/06/2018, 379, 91,100
24/06/2018, 236, 14,789
25/06/2018, 489, 17,359
26/06/2018, 100, 13,120
27/06/2018, 144, 97,700
28/06/2018, 235, 08,125
29/06/2018, 256, 60,145
30/06/2018, 478, 91,155
01/07/2018, 468, 84,112
02/07/2018, 350, 83,689
03/07/2018, 136, 01,128
04/07/2018, 339, 55,267
05/07/2018, 590, 41,290
06/07/2018, 266, 43,788
07/07/2018, 779, 36,556
08/07/2018, 557, 71,380
09/07/2018, 890, 73,166
10/07/2018, 668, 06,367
11/07/2018, 278, 72,138
12/07/2018, 679, 27,278
13/07/2018, 368, 79,478
14/07/2018, 660, 22,237
15/07/2018, 144, 90,578
16/07/2018, 467, 72,679
17/07/2018, 339, 59,379
18/07/2018, 460, 00,479
19/07/2018, 136, 04,158
20/07/2018, 160, 74,770
21/07/2018, 234, 94,149
22/07/2018, 344, 12,679
23/07/2018, 889, 58,134
24/07/2018, 579, 17,458
25/07/2018, 599, 30,677
26/07/2018, 169, 67,449
27/07/2018, 399, 18,189
28/07/2018, 380, 10,389
29/07/2018, 190, 02,679
30/07/2018, 468, 88,459
31/07/2018, 148, 30,118
01/08/2018, 120, 32,238
02/08/2018, 145, 09,135
03/08/2018, 890, 79,900
04/08/2018, 367, 66,114
05/08/2018, 134, 82,589
06/08/2018, 260, 82,246
07/08/2018, 137, 16,178
08/08/2018, ***, **,***
09/08/2018, 478, 99,180
10/08/2018, 589, 24,455
11/08/2018, 780, 57,133
12/08/2018, 560, 14,266
20/08/2018, 488, 08,350
21/08/2018, 235, 07,557
22/08/2018, 234, 96,259
23/08/2018, 390, 27,359
24/08/2018, 280, 01,560
25/08/2018, 279, 80,578
26/08/2018, 379, 90,127
27/08/2018, 680, 49,117
28/08/2018, 170, 81,669
29/08/2018, 125, 87,458
30/08/2018, 770, 48,125
31/08/2018, 180, 94,158
01/09/2018, 577, 98,800
02/09/2018, 119, 12,589
03/09/2018, 479, 00,550
04/09/2018, 344, 16,358
05/09/2018, 668, 01,146
06/09/2018, 360, 94,590
07/09/2018, 246, 26,899
08/09/2018, 699, 49,126
09/09/2018, 349, 64,789
10/09/2018, 358, 62,660
11/09/2018, 389, 09,450
12/09/2018, 255, 26,169
13/09/2018, 240, 60,677
14/09/2018, 777, 12,228
15/09/2018, 667, 91,128
16/09/2018, 230, 54,338
17/09/2018, 789, 43,139
18/09/2018, 499, 29,568
19/09/2018, 159, 53,139
20/09/2018, 458, 73,120
21/09/2018, 579, 17,250
22/09/2018, 239, 48,468
23/09/2018, 168, 52,156
24/09/2018, 299, 01,489
25/09/2018, 556, 60,569
26/09/2018, 479, 02,138
27/09/2018, 569, 02,147
28/09/2018, 459, 82,660
29/09/2018, 134, 86,330
30/09/2018, 458, 70,127
01/10/2018, 227, 18,134
02/10/2018, 356, 49,478
03/10/2018, 678, 15,500
04/10/2018, 780, 59,135
05/10/2018, 135, 92,679
06/10/2018, 244, 65,690
07/10/2018, 449, 70,460
08/10/2018, 270, 95,140
09/10/2018, 569, 09,289
10/10/2018, 570, 24,149
